concessionaria;n_ai_ni;data_da_infracao;trecho;dispositivo_infringido;decisao;valor_da_penalidade;pagamento;data;status
RMS;AI/042/GEFIC/2003;18/09/2002;Trecho da Via Permanente situado entre as estações de Guarapuava e Desvio Ribas;Art. 6º, RTF;Multa;100000;0;;SUSPENSO
RMS;AI/001/GEFIC/2003;22/04/2003;Jaguariaiva e Pisa, Mafra e Erechim, Santo ângelo e Cerro Largo, Santiago e São Borja;Art. 3º, RTF;Multa;50000;0;;SUSPENSO
RMS;AI/002/GEFIC/2003;22/04/2003;Jaguariaiva e Pisa, Mafra e Erechim, Santo ângelo e Cerro Largo, Santiago e São Borja;Art. 13, RTF;Multa;50000;0;;SUSPENSO
RMS;AI/003/GEFIC/2003;22/04/2003;Jaguariaiva e Pisa, Mafra e Erechim, Santo ângelo e Cerro Largo, Santiago e São Borja;Inciso I, Art. 54, RTF;Multa;50000;0;;SUSPENSO
RMS;AI/004/GEFIC/2003;22/04/2003;Jaguariaiva e Pisa, Mafra e Erechim, Santo ângelo e Cerro Largo, Santiago e São Borja;Inciso II, Art. 54, RTF;Multa;50000;0;;SUSPENSO
RMS;AI/005/GEFIC/2003;22/04/2003;Jaguariaiva e Pisa, Mafra e Erechim, Santo ângelo e Cerro Largo, Santiago e São Borja;Inciso XIV, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;101500;0;;SUSPENSO
RMS;AI/006/GEFIC/2003;22/04/2003;Jaguariaiva e Pisa, Mafra e Erechim, Santo ângelo e Cerro Largo, Santiago e São Borja;Inciso XXIV, Item 9.1, Cláusula 9ª do Contrato de Concessão.;Multa;304500;0;;SUSPENSO
RMP;AI/007/GEFIC/2003;19/05/2003;Presidente Epitácio e Presidente Prudente;Inciso X, item 9.1, Cláusula Nona do Contrato de Concessão;Multa;898800;0;;SUSPENSO
RMP;AI/008/GEFIC/2003;19/05/2003;Presidente Epitácio e Presidente Prudente;Inciso XIV, Item 9.1, Cláusula Nona do Contrato de Concessão.;Multa;898800;0;;SUSPENSO
RMP;AI/009/GEFIC/2003;19/05/2003;Presidente Epitácio e Presidente Prudente;Inciso I, Art. 4º, RTF;Multa;50000;0;;SUSPENSO
